rank,ticker,price,expiry1,expiry2,dte1,dte2,call_iv1,call_iv2,put_iv1,put_iv2,avg_iv1,avg_iv2,ff_call,ff_put,ff_avg,best_ff
1,MSFT,510.96000000000004,20251107,20251114,21,28,33.07,30.48,32.8,30.22,32.93,30.35,0.586,0.591,0.588,0.591
2,AMZN,214.25,20251107,20251114,21,28,50.26,46.75,49.92,46.2,50.09,46.47,0.474,0.532,0.502,0.532
3,GOOGL,250.875,20251031,20251107,14,21,52.53,48.0,52.64,47.56,52.59,47.78,0.407,0.492,0.448,0.492
4,MSFT,510.96000000000004,20251031,20251107,14,21,36.42,33.07,35.78,32.8,36.1,32.93,0.453,0.386,0.419,0.453
5,AMZN,214.25,20251114,20251121,28,35,46.75,44.33,46.2,44.41,46.47,44.37,0.419,0.271,0.34,0.419
6,GOOGL,250.875,20251107,20251114,21,28,48.0,44.95,47.56,44.73,47.78,44.84,0.404,0.363,0.383,0.404
7,GOOGL,250.875,20251114,20251121,28,35,44.95,42.83,44.36,42.79,44.65,42.81,0.362,0.239,0.297,0.362
8,AMZN,214.25,20251031,20251107,14,21,54.16,49.86,53.38,49.86,53.77,49.86,0.357,0.273,0.314,0.357
9,TSLA,426.34,20251024,20251031,7,14,73.72,66.45,73.35,65.85,73.54,66.15,0.265,0.278,0.272,0.278
10,MSFT,510.96000000000004,20251114,20251121,28,35,30.44,29.29,30.44,29.29,30.44,29.29,0.263,0.263,0.263,0.263
